Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Primary Key
29,Samuel Ersson,25,PHI,G,22,21,11,7,2,57,506,449,.887,2.87,2,1192:33,10,.476,6,114,-6.8,3.07,2.4,0,0,0,0,erssosa01
30,Tristan Jarry,29,PIT,G,21,20,8,7,4,66,579,513,.886,3.32,0,1193:28,8,.400,5,115,-8.6,3.57,2.6,0,0,0,2,jarrytr01
31,Darcy Kuemper,34,LAK,G,21,21,12,3,5,44,559,515,.921,2.11,2,1251:48,14,.667,1,79,11.5,2.25,4.6,0,0,0,0,kuempda01
32,Charlie Lindgren,31,WSH,G,21,21,10,8,2,54,538,484,.900,2.65,0,1221:03,12,.571,2,101,-0.6,2.85,3.2,0,0,0,0,lindgch01
33,David Rittich,32,LAK,G,21,19,11,9,0,47,415,368,.887,2.52,0,1118:47,13,.684,4,114,-5.8,2.68,1.9,0,0,0,2,rittida01
34,Joseph Woll,26,TOR,G,21,20,14,7,0,53,599,546,.912,2.58,1,1232:05,11,.550,4,89,6.4,2.78,4.3,0,0,0,0,wolljo01
35,Philipp Grubauer,33,SEA,G,20,20,5,14,1,69,530,461,.870,3.76,0,1101:27,7,.350,7,131,-16.4,4.03,1.5,0,0,0,0,grubaph01
36,Alex Nedeljkovic,29,PIT,G,19,18,7,7,4,63,551,488,.886,3.40,0,1111:58,7,.389,3,115,-8.3,3.67,2.5,0,0,0,2,nedelal01
37,Arvid Soderblom,25,CHI,G,19,17,6,11,1,54,559,505,.903,2.99,0,1085:22,9,.529,2,97,1.5,3.21,3.5,0,0,0,0,soderar01
38,Daniel Vladar,27,CGY,G,19,19,6,8,5,59,525,466,.888,3.08,2,1150:34,9,.474,4,113,-6.9,3.29,2.5,0,1,1,0,vladada01
39,John Gibson,31,ANA,G,17,16,7,6,2,46,494,448,.907,2.90,0,952:24,10,.625,2,94,3.0,3.09,3.3,0,1,1,0,gibsojo02
40,Anthony Stolarz,31,TOR,G,17,17,9,5,2,35,480,445,.927,2.15,1,976:19,12,.706,2,74,12.6,2.27,4.2,0,0,0,0,stolaan01
41,Justus Annunen,24,2TM,G,17,14,9,6,0,40,390,350,.897,2.87,0,837:01,8,.571,2,103,-1.3,3.08,2.2,0,0,0,0,annunju01
41,Justus Annunen,24,COL,G,11,9,6,4,0,28,218,190,.872,3.23,0,520:50,4,.444,2,129,-6.4,3.46,0.7,0,0,0,0,annunju01
41,Justus Annunen,24,NSH,G,6,5,3,2,0,12,172,160,.930,2.28,0,316:11,4,.800,0,70,5.1,2.47,1.6,0,0,0,0,annunju01
42,Alex Lyon,32,DET,G,16,14,8,5,0,38,388,350,.902,2.71,1,841:32,8,.571,4,99,0.5,2.92,2.4,0,0,0,2,lyonal01
43,Calvin Pickard,32,EDM,G,16,14,10,4,0,36,345,309,.896,2.50,0,865:14,9,.643,2,105,-1.8,2.70,1.9,0,0,0,0,pickaca01
44,Ilya Samsonov,27,VEG,G,16,16,11,4,1,42,456,414,.908,2.61,1,964:52,11,.688,3,93,3.2,2.80,3.1,0,0,0,2,samsoil01
45,Joel Hofer,24,STL,G,15,14,9,4,1,40,408,368,.902,2.86,1,839:34,7,.500,2,99,0.5,3.07,2.5,0,1,1,2,hoferjo01
46,Spencer Knight,23,FLA,G,15,14,7,6,1,40,368,328,.891,2.80,1,857:41,7,.500,3,110,-3.5,3.01,1.9,0,1,1,0,knighsp01
47,Aleksei Kolosov,23,PHI,G,15,11,4,8,1,45,347,302,.870,3.45,0,783:06,4,.364,4,131,-10.6,3.68,1.0,0,0,0,0,kolosal01
48,Jonathan Quick,39,NYR,G,15,12,6,5,1,40,400,360,.900,2.98,2,805:16,5,.417,3,101,-0.3,3.20,2.4,0,0,0,2,quickjo01
49,Marc-Andre Fleury,40,MIN,G,14,12,9,3,1,33,366,333,.910,2.54,0,779:48,9,.750,1,91,3.3,2.69,2.6,0,0,0,0,fleurma01
50,Anton Forsberg,32,OTT,G,14,14,4,8,1,41,350,309,.883,3.10,2,792:51,4,.286,5,118,-6.3,3.33,1.5,0,0,0,0,forsban01
51,Connor Ingram,27,UTA,G,14,14,6,5,3,45,366,321,.877,3.49,0,773:17,4,.286,2,124,-8.7,3.72,1.3,0,0,0,2,ingraco01
52,Joonas Korpisalo,30,BOS,G,14,13,7,4,2,39,362,323,.892,2.86,2,817:12,7,.538,3,109,-3.1,3.08,1.9,0,0,0,0,korpijo01
53,Vitek Vanecek,29,SJS,G,14,13,3,8,1,47,409,362,.885,3.84,0,733:53,4,.308,4,116,-6.4,4.17,1.8,0,1,1,0,vanecvi01
54,Jake Allen,34,NJD,G,13,13,5,7,1,36,352,316,.898,2.83,2,761:58,7,.538,3,103,-1.1,3.07,2.0,0,0,0,0,allenja01
55,Casey DeSmith,33,DAL,G,13,11,6,5,0,27,312,285,.913,2.32,1,698:44,6,.545,1,87,3.9,2.49,2.3,0,1,1,2,desmica01
56,Ivan Fedotov,28,PHI,G,12,12,4,5,2,38,302,264,.874,3.40,0,671:22,3,.250,5,127,-8.0,3.66,1.0,0,0,0,0,fedotiv01
57,Scott Wedgewood,32,2TM,G,12,10,5,4,1,31,311,280,.900,2.89,1,642:53,4,.400,3,100,-0.1,3.08,1.9,0,0,0,0,wedgesc01
57,Scott Wedgewood,32,NSH,G,5,4,1,2,1,16,131,115,.878,3.69,0,260:01,1,.250,2,123,-3.0,3.92,0.5,0,0,0,0,wedgesc01
57,Scott Wedgewood,32,COL,G,7,6,4,2,0,15,180,165,.917,2.35,1,382:52,3,.500,1,84,2.9,2.51,1.4,0,0,0,0,wedgesc01
58,Cayden Primeau,25,MTL,G,11,7,2,3,1,41,250,209,.836,4.70,0,523:42,1,.143,4,165,-16.2,5.04,-0.2,0,0,0,2,primeca01
59,Eric Comrie,29,WPG,G,10,10,3,6,1,29,303,274,.904,2.94,0,591:08,6,.600,0,96,1.1,3.15,1.9,0,0,0,0,comrier01
60,Jonas Johansson,29,TBL,G,10,9,5,3,1,30,308,278,.903,3.18,1,565:56,4,.444,2,98,0.6,3.39,1.9,0,0,0,0,johanjo03
61,Daniil Tarasov,25,CBJ,G,10,10,3,6,1,42,294,252,.857,4.23,0,595:38,2,.200,4,144,-12.8,4.53,0.4,0,1,1,0,tarasda02
62,Semyon Varlamov,36,NYI,G,10,10,3,4,3,29,262,233,.889,2.89,0,602:24,5,.500,3,112,-3.0,3.09,1.3,0,0,0,0,varlasi01
63,Spencer Martin,29,CAR,G,9,7,3,4,1,27,175,148,.846,3.89,1,415:59,1,.143,5,156,-9.6,4.18,0.0,0,0,0,0,martisp01
