"Player","Team","PPG","PPA","PPP"
Brayden Point,TBL,12,8,20
Gabriel Vilardi,WPG,10,9,19
Dylan Larkin,DET,10,7,17
Kyle Connor,WPG,9,10,19
Sam Reinhart,FLA,9,8,17
Brady Tkachuk,OTT,9,6,15
Andrei Svechnikov,CAR,9,6,15
Jake Guentzel,TBL,9,3,12
Tom Wilson,WSH,9,3,12
Patrik Laine,MTL,9,0,9
