"Rk","Player","Age","Team","Pos","GP","GS","W","L","T/O","GA","Shots","SV","SV%","GAA","SO","TOI","QS","QS%","RBS","GA%-","GSAA","GAA/A","GPS","G","A","PTS","PIM","Primary Key"
79,Drew Commesso,22,CHI,G,2,1,0,1,0,4,26,22,0.846,3.36,0,71.35,0,0.0,1,155,-1.4,3.36,0.0,0,0,0,0,commedr01
80,Trent Miner,23,COL,G,2,1,0,1,0,4,33,29,0.879,2.62,0,91.63,0,0.0,0,122,-0.7,2.62,0.1,0,0,0,0,minertr01
81,Matt Murray,30,TOR,G,2,2,1,1,0,7,58,51,0.879,3.54,0,118.65,0,0.0,0,122,-1.2,4.05,0.2,0,0,0,0,murrama02
82,Mads Sogaard,24,OTT,G,2,1,1,1,0,8,40,32,0.8,5.24,0,91.55,0,0.0,1,202,-4.0,5.9,-0.2,0,0,0,2,sogaama01
83,Jesper Wallstedt,22,MIN,G,2,2,0,2,0,8,51,43,0.843,4.09,0,117.43,0,0.0,1,158,-2.9,4.6,0.0,0,0,0,2,wallsje01
84,Pheonix Copley,33,LAK,G,1,0,0,0,0,2,12,10,0.833,4.37,0,27.48,0,,0,168,-0.8,4.37,0.0,0,0,0,0,copleph01
85,Sebastian Cossa,22,DET,G,1,0,1,0,0,2,14,12,0.857,2.67,0,45.0,0,,0,144,-0.6,2.67,0.0,0,0,0,0,cossase01
86,Louis Domingue,32,NYR,G,1,1,1,0,0,2,27,25,0.926,2.0,0,60.0,1,1.0,0,75,0.7,2.0,0.2,0,0,0,0,dominlo01
87,Kaapo Kahkonen,28,COL,G,1,1,0,1,0,4,20,16,0.8,4.12,0,58.27,0,0.0,1,202,-2.0,4.12,-0.1,0,0,0,0,kahkoka01
88,Yaniv Perets,24,CAR,G,1,0,0,0,0,1,7,6,0.857,7.32,0,8.2,0,,0,144,-0.3,7.32,0.0,0,0,0,0,peretya01
89,Erik Portillo,24,LAK,G,1,1,1,0,0,1,29,28,0.966,1.02,0,58.62,1,1.0,0,35,1.9,1.02,0.4,0,0,0,0,portier01
90,Akira Schmid,24,VEG,G,1,0,0,0,0,0,12,12,1.0,0.0,0,33.42,0,,0,0,1.2,0.0,0.2,0,0,0,0,schmiak01
